"wu_name","node_name","start_blast","end_blast","start_blast_epoch","end_blast_epoch","ID","sent","received","diff_sent","diff_rec","diff_blast","diff_all","diff_server_client"
"blast500k_test_pub_fileFULL_gr_1095","IS24T-06XX271-DT","Tue 11/17/2015-20:25:29.36","Tue 11/17/2015-20:39:17.41",1447766729,1447767557,19382,1447766690,1447767571,39,14,828,881,53
"blast500k_test_pub_fileFULL_gr_1096","IS24T-06XX272-DT","Tue 11/17/2015-20:49:17.59","Tue 11/17/2015-21:09:30.34",1447768157,1447769370,19383,1447768142,1447769388,15,18,1213,1246,33
"blast500k_test_pub_fileFULL_gr_1097","IS24T-06XX300-DT","Tue 11/17/2015-20:21:57.17","Tue 11/17/2015-20:36:52.99",1447766517,1447767412,19384,1447766512,1447767438,5,26,895,926,31
"blast500k_test_pub_fileFULL_gr_1098","IS24T-06XX265-DT","Tue 11/17/2015-20:33:33.93","Tue 11/17/2015-20:50:11.97",1447767213,1447768211,19385,1447767189,1447768227,24,16,998,1038,40
"blast500k_test_pub_fileFULL_gr_1099","IS24T-06XX274-DT","Tue 11/17/2015-20:26:24.41","Tue 11/17/2015-20:38:51.71",1447766784,1447767531,19386,1447766755,1447767550,29,19,747,795,48
"blast500k_test_pub_fileFULL_gr_11","IS24T-06XX278-DT","Tue 11/17/2015-18:03:59.09","Tue 11/17/2015-18:16:46.93",1447758239,1447759006,18298,1447758238,1447759039,1,33,767,801,34
"blast500k_test_pub_fileFULL_gr_110","IS24T-06XX293-DT","Tue 11/17/2015-18:00:56.56","Tue 11/17/2015-18:14:57.42",1447758056,1447758897,18397,1447758052,1447758922,4,25,841,870,29
"blast500k_test_pub_fileFULL_gr_1100","IS24T-06XX278-DT","Tue 11/17/2015-20:38:53.56","Tue 11/17/2015-20:55:46.54",1447767533,1447768546,19387,1447767526,1447768577,7,31,1013,1051,38
"blast500k_test_pub_fileFULL_gr_1101","IS24T-06XX292-DT","Tue 11/17/2015-20:32:10.85","Tue 11/17/2015-20:47:05.78",1447767130,1447768025,19388,1447767187,1447768113,-57,88,895,926,31
"blast500k_test_pub_fileFULL_gr_1102","IS24T-06XX285-DT","Tue 11/17/2015-20:34:35.79","Tue 11/17/2015-20:57:30.71",1447767275,1447768650,19389,1447767254,1447768676,21,26,1375,1422,47
"blast500k_test_pub_fileFULL_gr_1103","IS24T-06XX295-DT","Tue 11/17/2015-20:31:38.44","Tue 11/17/2015-20:43:59.96",1447767098,1447767839,19390,1447767118,1447767901,-20,62,741,783,42
"blast500k_test_pub_fileFULL_gr_1104","IS24T-06XX255-DT","Tue 11/17/2015-20:37:57.82","Tue 11/17/2015-20:53:02.41",1447767477,1447768382,19391,1447767452,1447768398,25,16,905,946,41
"blast500k_test_pub_fileFULL_gr_1105","IS24T-06XX291-DT","Tue 11/17/2015-20:39:41.67","Tue 11/17/2015-20:57:17.21",1447767581,1447768637,19392,1447767568,1447768664,13,27,1056,1096,40
"blast500k_test_pub_fileFULL_gr_1106","IS24T-06XX292-DT","Tue 11/17/2015-20:47:23.77","Tue 11/17/2015-21:00:05.17",1447768043,1447768805,19393,1447768099,1447768887,-56,82,762,788,26
"blast500k_test_pub_fileFULL_gr_1107","IS24T-06XX271-DT","Tue 11/17/2015-20:25:29.42","Tue 11/17/2015-20:38:10.71",1447766729,1447767490,19394,1447766702,1447767505,27,15,761,803,42
"blast500k_test_pub_fileFULL_gr_1108","IS24T-06XX288-DT","Tue 11/17/2015-20:30:11.37","Tue 11/17/2015-20:49:01.06",1447767011,1447768141,19395,1447766967,1447768155,44,14,1130,1188,58
"blast500k_test_pub_fileFULL_gr_1109","IS24T-06XX271-DT","Tue 11/17/2015-20:39:30.46","Tue 11/17/2015-20:49:14.55",1447767570,1447768154,19396,1447767559,1447768172,11,18,584,613,29
"blast500k_test_pub_fileFULL_gr_111","IS24T-06XX209-DT","Tue 11/17/2015-17:42:31.64","Tue 11/17/2015-17:56:48.75",1447756951,1447757808,18398,1447756939,1447757875,12,67,857,936,79
"blast500k_test_pub_fileFULL_gr_1110","IS24T-06XX292-DT","Tue 11/17/2015-21:00:31.95","Tue 11/17/2015-21:13:59.11",1447768831,1447769639,19397,1447768875,1447769721,-44,82,808,846,38
